"Title"	"Journal"	"Year"	"PMID"	"Abstract"
"1"	"Cellular Uptake of the Atypical Antipsychotic Clozapine Is a Carrier-Mediated Process."	"Molecular pharmaceutics"	2018	"29944835"	""
"2"	"Clozapine-related Paroxysmal Supraventricular Tachycardia: a Case Report."	"East Asian archives of psychiatry : official journal of the Hong Kong College of Psychiatrists = Dong Ya jing shen ke xue zhi : Xianggang jing shen ke yi xue yuan qi kan"	2018	"29921744"	"Clozapine is considered to be more effective than other antipsychotic drugs for treating treatmentresistant schizophrenia. However, side effects of clozapine include agranulocytosis and, less commonly, cardiovascular disease, which is occasionally fatal. We describe a 56-year-old woman who developed clozapine-related paroxysmal supraventricular tachycardia during clozapine dose titration and had a recurrence despite being treated with verapamil. For treatment-resistant schizophrenia, a slow titration of the clozapine dose is necessary, and potential cardiac side-effects should be monitored."
"3"	"Clozapine-Induced Cardiovascular Side Effects and Autonomic Dysfunction: A Systematic Review."	"Frontiers in neuroscience"	2018	"29670504"	""
"4"	"Calcium channel blockers for antipsychotic-induced tardive dyskinesia."	"The Cochrane database of systematic reviews"	2018	"29578611"	"Schizophrenia and related disorders affect a sizable proportion of any population. Antipsychotic medications are the primary treatment for these disorders. Antipsychotic medications are associated with a variety of adverse effects including tardive dyskinesia. Dyskinesia is a disfiguring movement disorder of the orofacial region that can be tardive (having a slow or belated onset). Tardive dyskinesia is difficult to treat, despite experimentation with several treatments. Calcium channel blockers (diltiazem, nifedipine, nimodipine, verapamil, flunarizine) have been among these experimental treatments.</AbstractText>: Schizophrenia and related disorders affect a sizable proportion of any population. Antipsychotic medications are the primary treatment for these disorders. Antipsychotic medications are associated with a variety of adverse effects including tardive dyskinesia. Dyskinesia is a disfiguring movement disorder of the orofacial region that can be tardive (having a slow or belated onset). Tardive dyskinesia is difficult to treat, despite experimentation with several treatments. Calcium channel blockers (diltiazem, nifedipine, nimodipine, verapamil, flunarizine) have been among these experimental treatments.To determine the effects of calcium channel blocker drugs (diltiazem, nifedipine, nimodipine, verapamil) for treatment of neuroleptic-induced tardive dyskinesia in people with schizophrenia, schizoaffective disorder or other chronic mental illnesses.</AbstractText>: To determine the effects of calcium channel blocker drugs (diltiazem, nifedipine, nimodipine, verapamil) for treatment of neuroleptic-induced tardive dyskinesia in people with schizophrenia, schizoaffective disorder or other chronic mental illnesses.We searched the Cochrane Schizophrenia Group Trials Register (July 2015 and April 2017), inspected references of all identified studies for further trials and contacted authors of trials for additional information.</AbstractText>: We searched the Cochrane Schizophrenia Group Trials Register (July 2015 and April 2017), inspected references of all identified studies for further trials and contacted authors of trials for additional information.We selected randomised controlled trials comparing calcium channel blockers with placebo, no intervention or any other intervention for people with both tardive dyskinesia and schizophrenia or serious mental illness who remained on their antipsychotic medication.</AbstractText>: We selected randomised controlled trials comparing calcium channel blockers with placebo, no intervention or any other intervention for people with both tardive dyskinesia and schizophrenia or serious mental illness who remained on their antipsychotic medication.We independently extracted data and estimated risk ratios of dichotomous data or mean differences (MD) of continuous data, with 95% confidence intervals (CI). We assumed that people who left the trials early had no improvement. We also created a 'Summary of findings' table using GRADE.</AbstractText>: We independently extracted data and estimated risk ratios of dichotomous data or mean differences (MD) of continuous data, with 95% confidence intervals (CI). We assumed that people who left the trials early had no improvement. We also created a 'Summary of findings' table using GRADE.Previous versions of this review included no trials. From the 2015 search, we identified three cross-over trials that could be included. The 2017 search found no new studies relevant to this review. The included trials randomised 47 inpatients with chronic mental illnesses in the USA and China. Trials were published in the 1990s and were of short duration (six to 10 weeks). Overall, the risk of bias was unclear, mainly due to poor reporting; allocation concealment was not described, generation of the sequence was not explicit, studies were not clearly blinded, and attrition and outcome data were not fully reported. Findings were sparse, no study reported on the primary outcome 'no clinically important improvement in tardive dyskinesia symptoms,' but two small studies (37 participants) found no difference on the tardive dyskinesia symptoms scale Abnormal Involuntary Movement Scale (AIMS) scores between diltiazem or flunarizine and placebo after three to four weeks' treatment (MD -0.71, 95% CI -2.68 to 1.26, very low quality evidence). Only one study randomising 20 participants reported on adverse events, and reported that there were no adverse events with flunarizine or with placebo (very low quality evidence). One study with 18 participants reported no events of deterioration in mental state with diltiazem or with placebo (very low quality evidence). No studies reported on acceptability of treatment or on social confidence, social inclusion, social networks or personalised quality of life outcomes designated important to patients.</AbstractText>: Previous versions of this review included no trials. From the 2015 search, we identified three cross-over trials that could be included. The 2017 search found no new studies relevant to this review. The included trials randomised 47 inpatients with chronic mental illnesses in the USA and China. Trials were published in the 1990s and were of short duration (six to 10 weeks). Overall, the risk of bias was unclear, mainly due to poor reporting; allocation concealment was not described, generation of the sequence was not explicit, studies were not clearly blinded, and attrition and outcome data were not fully reported. Findings were sparse, no study reported on the primary outcome 'no clinically important improvement in tardive dyskinesia symptoms,' but two small studies (37 participants) found no difference on the tardive dyskinesia symptoms scale Abnormal Involuntary Movement Scale (AIMS) scores between diltiazem or flunarizine and placebo after three to four weeks' treatment (MD -0.71, 95% CI -2.68 to 1.26, very low quality evidence). Only one study randomising 20 participants reported on adverse events, and reported that there were no adverse events with flunarizine or with placebo (very low quality evidence). One study with 18 participants reported no events of deterioration in mental state with diltiazem or with placebo (very low quality evidence). No studies reported on acceptability of treatment or on social confidence, social inclusion, social networks or personalised quality of life outcomes designated important to patients.Available evidence from randomised controlled trials is extremely limited and very low quality, conclusions cannot be drawn. The effects of calcium channel blockers for antipsychotic-induced tardive dyskinesia are unknown. Their use is experimental and should only be given in the context of well-designed randomised trials.</AbstractText>: Available evidence from randomised controlled trials is extremely limited and very low quality, conclusions cannot be drawn. The effects of calcium channel blockers for antipsychotic-induced tardive dyskinesia are unknown. Their use is experimental and should only be given in the context of well-designed randomised trials."
"5"	"Reduced levels of Cacna1c attenuate mesolimbic dopamine system function."	"Genes, brain, and behavior"	2017	"28186690"	""
"6"	"Clozapine-induced Supraventricular Tachycardia and its Treatment with Verapamil."	"Indian journal of psychological medicine"	2015	"26664091"	"Clozapine is known to be an effective antipsychotic for schizophrenia. Cardiovascular complications associated with initiation of clozapine include tachycardia, postural hypotension, and myocarditis. Factors associated with development of cardiovascular adverse events are not clearly known, and dose titration has been described to be one among the associated risk factors. We report a case of a 45-year-old man with treatment resistant schizophrenia who developed supraventricular tachycardia during initiation of clozapine and discuss the role of verapamil in its successful management. "
"7"	"Multiple inductive effects of carbamazepine on combined therapy with paliperidone and amlodipine."	"Journal of clinical pharmacy and therapeutics"	2015	"26009790"	"WHAT IS KNOWN AND OBJECTIVE: Carbamazepine is a potent inducer of cytochrome P450 3A and P-glycoprotein. However, there are no reports of the effects of carbamazepine on more than one co-administered drug.CASE SUMMARY: A 53-year-old female patient with schizophrenia and hypertension was on paliperidone 12 mg/day and amlodipine 5 mg/day. When carbamazepine was added to this prescription, the plasma concentrations of both drugs decreased dramatically in a dose-dependent manner. Although the patient's psychotic symptoms did not change, as a result, her mean blood pressure increased to 160·1/103·6 mmHg from 138·4/91·4 mmHg at a carbamazepine dose of 600 mg/day.WHAT IS NEW AND CONCLUSION: Theses cases show the effect of carbamazepine induction on two drugs simultaneously. Care is required when carbamazepine is added to drug regimens including paliperidone or amlodipine alone or together."
"8"	"Enhanced dopamine-dependent hippocampal plasticity after single MK-801 application."	"Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology"	2014	"25315194"	"Dopaminergic hyperfunction and N-methyl-D-aspartate receptor (NMDAR) hypofunction have both been implicated in psychosis. Dopamine-releasing drugs and NMDAR antagonists replicate symptoms associated with psychosis in healthy humans and exacerbate symptoms in patients with schizophrenia. Though hippocampal dysfunction contributes to psychosis, the impact of NMDAR hypofunction on hippocampal plasticity remains poorly understood. Here, we used an NMDAR antagonist rodent model of psychosis to investigate hippocampal long-term potentiation (LTP). We found that single systemic NMDAR antagonism results in a region-specific, presynaptic LTP at hippocampal CA1-subiculum synapses that is induced by activation of D1/D5 dopamine receptors and modulated by L-type voltage-gated Ca(2+) channels. Thereby, our findings may provide a cellular mechanism how NMDAR antagonism can lead to an enhanced hippocampal output causing activation of the hippocampus-ventral tegmental area-loop and overdrive of the dopamine system. "
"9"	NA	"Journal of neuroscience research"	2014	"24995437"	"Phencyclidine (PCP) is a noncompetitive, open channel blocker of the N-methyl-D-aspartate (NMDA) receptor-ion channel complex. When administered to immature animals, it is known to cause apoptotic neurodegeneration in several regions, and this is followed by olanzapine-sensitive, schizophrenia-like behaviors in late adolescence and adulthood. Clarification of its mechanism of action could yield data that would help to inform the treatment of schizophrenia. In our initial experiments, we found that a-amino-3-hydroxy-5-methyl-4-isoxazoleproprionic acid (AMPA) inhibited PCP-induced apoptosis in organotypic neonatal rat brain slices in a concentration-dependent and 6-cyano-7-nitroquinoxaline-2,3-dione-sensitive manner. Calcium signaling pathways are widely implicated in apoptosis, and PCP prevents calcium influx through NMDA receptor channels. We therefore hypothesized that AMPA could protect against this effect by activation of voltage-dependent calcium channels (VDCCs). In support of this hypothesis, pretreatment with the calcium channel blocker cadmium chloride eliminated AMPA-mediated protection against PCP. Furthermore, the L-type VDCC inhibitor nifedipine (10 µM) fully abrogated the effects of AMPA, suggesting that L-type VDCCs are required for AMPA-mediated protection against PCP-induced neurotoxicity. Whereas the P/Q-type inhibitor <U+03C9>-agatoxin TK (200 nM) reduced AMPA protection by 51.7%, the N-type VDCC inhibitor <U+03C9>-conotoxin (2 µM) had no effect. Decreased AMPA-mediated protection following cotreatment with K252a, a TrkB inhibitor, suggests that brain-derived neurotrophic factor signaling plays an important role. By analogy, these results suggest that activation of L-type, and to a lesser extent P/Q-type, VDCCs might be advantageous in treating conditions associated with diminished NMDAergic activity during early development."
"10"	"P-glycoprotein activity in the blood-brain barrier is affected by virus-induced neuroinflammation and antipsychotic treatment."	"Neuropharmacology"	2014	"24973705"	"A large percentage of schizophrenic patients respond poorly to antipsychotic treatment. This could be explained by inefficient drug transport across the blood-brain barrier due to P-glycoprotein mediated efflux. P-glycoprotein activity and expression in the blood-brain barrier can be affected by inflammation and pharmacotherapy. We therefore investigated the effect of herpes simplex virus type-1 (HSV-1) induced neuroinflammation and antipsychotic treatment on P-glycoprotein activity. Rats were inoculated with HSV-1 or PBS (control) on day 0 and treated with saline, clozapine or risperidone from day 0 up until day 4 post-inoculation. Positron emission tomography with the P-glycoprotein substrate [11C]verapamil was used to assess P-glycoprotein activity at day 6 post-inoculation. Disease symptoms in HSV-1 inoculated rats increased over time and were not significantly affected by treatment. The volume of distribution (VT) of [11C]verapamil was significantly lower (10-22%) in HSV-1 inoculated rats than in control rats. In addition, antipsychotic treatment significantly affected the VT of [11C]verapamil in all brain regions, although this effect was drug dependent. In fact, VT of [11C]verapamil was significantly increased (22-39%) in risperidone treated rats in most brain regions when compared to clozapine treated rats and in midbrain when compared to saline treated rats. No interaction between HSV-1 inoculation and antipsychotic treatment on VT of [11C]verapamil was found. In this study we demonstrated that HSV-1 induced neuroinflammation increased and risperidone treatment decreased P-glycoprotein activity. This finding is of importance for the understanding of treatment resistance in schizophrenia, and warrants further investigation of the underlying mechanism and the importance in clinical practice."
