"Title"	"Journal"	"Year"	"PMID"
"1"	"Cellular Uptake of the Atypical Antipsychotic Clozapine Is a Carrier-Mediated Process."	"Molecular pharmaceutics"	2018	"29944835"
"2"	"Clozapine-related Paroxysmal Supraventricular Tachycardia: a Case Report."	"East Asian archives of psychiatry : official journal of the Hong Kong College of Psychiatrists = Dong Ya jing shen ke xue zhi : Xianggang jing shen ke yi xue yuan qi kan"	2018	"29921744"
"3"	"Clozapine-Induced Cardiovascular Side Effects and Autonomic Dysfunction: A Systematic Review."	"Frontiers in neuroscience"	2018	"29670504"
"4"	"Calcium channel blockers for antipsychotic-induced tardive dyskinesia."	"The Cochrane database of systematic reviews"	2018	"29578611"
"5"	"Reduced levels of Cacna1c attenuate mesolimbic dopamine system function."	"Genes, brain, and behavior"	2017	"28186690"
"6"	"Clozapine-induced Supraventricular Tachycardia and its Treatment with Verapamil."	"Indian journal of psychological medicine"	2015	"26664091"
"7"	"Multiple inductive effects of carbamazepine on combined therapy with paliperidone and amlodipine."	"Journal of clinical pharmacy and therapeutics"	2015	"26009790"
"8"	"Enhanced dopamine-dependent hippocampal plasticity after single MK-801 application."	"Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology"	2014	"25315194"
"9"	NA	"Journal of neuroscience research"	2014	"24995437"
"10"	"P-glycoprotein activity in the blood-brain barrier is affected by virus-induced neuroinflammation and antipsychotic treatment."	"Neuropharmacology"	2014	"24973705"
"11"	"Reversible dimers of the atypical antipsychotic quetiapine inhibit p-glycoprotein-mediated efflux in vitro with increased binding affinity and in situ at the blood-brain barrier."	"ACS chemical neuroscience"	2014	"24483607"
"12"	"Verapamil for the treatment of clozapine-induced persistent sinus tachycardia in a patient with schizophrenia: a case report and literature review."	"Psychosomatics"	2013	"23820380"
"13"	"Ginkgo biloba: indications, mechanisms, and safety."	"The Psychiatric clinics of North America"	2013	"23538078"
"14"	"Microtubule organization and L-type voltage-activated calcium current in olfactory neuronal cells obtained from patients with schizophrenia and bipolar disorder."	"Schizophrenia research"	2013	"23290267"
"15"	"Epileptiform activity and cognitive deficits in SNAP-25(+/-) mice are normalized by antiepileptic drugs."	"Cerebral cortex (New York, N.Y. : 1991)"	2012	"23064108"
"16"	"Synaptic activity unmasks dopamine D2 receptor modulation of a specific class of layer V pyramidal neurons in prefrontal cortex."	"The Journal of neuroscience : the official journal of the Society for Neuroscience"	2012	"22492051"
"17"	"Calcium channel blockers for neuroleptic-induced tardive dyskinesia."	"The Cochrane database of systematic reviews"	2011	"22071797"
"18"	"Raynaud’s phenomenon in a patient with schizophrenia and obsessive-compulsive disorder: a case report."	"Turk psikiyatri dergisi = Turkish journal of psychiatry"	2011	"21780344"
"19"	"Simultaneous determination of aripiprazole and its active metabolite, dehydroaripiprazole, in plasma by capillary electrophoresis combining on-column field-amplified sample injection and application in schizophrenia."	"Electrophoresis"	2010	"20665528"
"20"	"Regional increase in P-glycoprotein function in the blood-brain barrier of patients with chronic schizophrenia: a PET study with [(11)C]verapamil as a probe for P-glycoprotein function."	"Psychiatry research"	2010	"20620031"
"21"	"[Effect of nifedipine on the effectiveness of antipsychotic therapy in schizophrenia]."	"Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova"	2009	"19738566"
"22"	"[The use of nifedipine as a corrector of extrapyramidal side-effects of classical neuroleptics]."	"Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova"	2008	"18577931"
"23"	"Effect of the novel antipsychotic drug perospirone on P-glycoprotein function and expression in Caco-2 cells."	"European journal of clinical pharmacology"	2008	"18478216"
